Feature,Model,Physâ†’BCI accuracy,Physâ†’BCI ci95 low,Physâ†’BCI ci95 high,Physâ†’BCI norm gap,BCIâ†’Phys accuracy,BCIâ†’Phys ci95 low,BCIâ†’Phys ci95 high,BCIâ†’Phys norm gap
Time Domain,Log. Reg.,0.6987,0.6389,0.774,-0.1389,0.5786,0.5592,0.5991,0.1437
Time Domain,SVM,0.6998,0.6408,0.7739,-0.1366,0.5771,0.5574,0.5976,0.1464
Time Domain,Rand. Forest,0.6435,0.5748,0.7215,-0.1108,0.5197,0.5058,0.534,0.1949
Band Power,Log. Reg.,0.6586,0.5795,0.7501,-0.0925,0.5582,0.5411,0.5761,0.1234
Band Power,SVM,0.6543,0.5733,0.7481,-0.0847,0.5536,0.5365,0.5714,0.1273
Band Power,Rand. Forest,0.6235,0.5575,0.6987,-0.1081,0.5245,0.5123,0.5369,0.1077
FFT,Log. Reg.,0.6258,0.5725,0.6783,-0.0996,0.5726,0.5557,0.5904,0.0328
FFT,SVM,0.6235,0.5698,0.6763,-0.0943,0.5719,0.555,0.5893,0.0335
FFT,Rand. Forest,0.5629,0.5251,0.6084,-0.0749,0.5258,0.5116,0.5398,0.06
